aseri.mid	33847	1298450	14	0
aseri2.mid	18770	1279656	14	0
ayasi.mid	9199	609344	14	0
barret.mid	9165	1270467	14	0
bat.mid	23919	585401	14	0
bee.mid	10471	1259972	14	0
boo.mid	6020	1253928	14	0
bokujo.mid	9824	575553	14	0
canyon.mid	12246	1241658	14	0
cannon.mid	5599	569930	14	0
cephiros.mid	11756	558150	14	0
chu.mid	31814	526312	14	0
chu2.mid	24535	1181544	14	0
chase.mid	35531	1206103	14	0
cinco.mid	19063	507225	14	0
cintro.mid	366	1181154	14	0
corneo.mid	5078	1159052	14	0
corel.mid	5440	496859	14	0
condor.mid	16976	1164154	14	0
costa.mid	11588	485247	14	0
comical.mid	4878	502323	14	0
crwin.mid	1379	483844	14	0
crlost.mid	3764	1155264	14	0
date.mid	8514	1146726	14	0
dokubo.mid	9340	474480	14	0
dun2.mid	27181	1119521	14	0
earis.mid	8808	465648	14	0
earislo.mid	11653	1107844	14	0
elec.mid	23858	441766	14	0
fan2.mid	9992	1097828	14	0
fanfare.mid	892	440850	14	0
fiddle.mid	16690	1081114	14	0
fin.mid	67361	937077	14	0
geki.mid	4394	1076696	14	0
gold1.mid	19931	418778	14	0
gun.mid	13389	405365	14	0
guitar2.mid	2093	438733	14	0
hen.mid	4359	400982	14	0
hiku.mid	17546	1059126	14	0
horror.mid	11835	389123	14	0
iseki.mid	20729	1038373	14	0
junon.mid	9970	1028379	14	0
jukai.mid	5009	384090	14	0
jyro.mid	15577	368489	14	0
ketc.mid	11629	1016726	14	0
kita.mid	23692	344773	14	0
kurai.mid	12240	1004462	14	0
lb2.mid	52157	1332321	14	0
lb1.mid	37892	306857	14	0
lb2_awe.mid	51057	1384502	14	0
ld.mid	18918	287915	14	0
makoro.mid	31614	905439	14	0
mati.mid	7237	280654	14	0
mekyu.mid	14435	890980	14	0
mogu.mid	2845	277785	14	0
mura1.mid	6032	884924	14	0
nointro.mid	11560	266201	14	0
oa.mid	44983	839917	14	0
ob.mid	39409	226768	14	0
odds.mid	8398	831495	14	0
over2.mid	3700	223044	14	0
parade.mid	9929	821542	14	0
pj.mid	28190	194830	14	0
pre.mid	21863	799655	14	0
red.mid	7043	187763	14	0
rhythm.mid	10796	788835	14	0
riku.mid	4002	183737	14	0
ro.mid	13147	775664	14	0
roll.mid	50864	724776	14	0
rocket.mid	9388	174325	14	0
rukei.mid	10774	163527	14	0
sadbar.mid	4118	720634	14	0
sadsid.mid	3244	160259	14	0
seto.mid	6553	127882	14	0
sea.mid	25776	134459	14	0
sinraslo.mid	20842	88317	14	0
sido.mid	9259	707620	14	0
siera.mid	10624	109183	14	0
sid2.mid	8027	119831	14	0
si.mid	3707	716903	14	0
sinra.mid	7308	700288	14	0
snow.mid	10717	689547	14	0
ta.mid	30618	57675	14	0
tb.mid	13686	675837	14	0
tender.mid	7425	50226	14	0
tifa.mid	13771	662042	14	0
tm.mid	18747	31455	14	0
utai.mid	23726	638292	14	0
vincent.mid	5393	26038	14	0
walz.mid	3692	634576	14	0
weapon.mid	14808	11206	14	0
yado.mid	2430	8752	14	0
yufi2.mid	2545	6183	14	0
yume.mid	5831	618567	14	0
yufi.mid	10130	624422	14	0
WALZ.mid	3692	634576	N/A	N/A
UTAI.mid	23726	638292	N/A	N/A
TIFA.mid	13771	662042	N/A	N/A
TB.mid	13686	675837	N/A	N/A
SNOW.mid	10717	689547	N/A	N/A
SINRA.mid	7308	700288	N/A	N/A
SIDO.mid	9259	707620	N/A	N/A
SI.mid	3707	716903	N/A	N/A
SADBAR.mid	4118	720634	N/A	N/A
ROLL.mid	50864	724776	N/A	N/A
RO.mid	13147	775664	N/A	N/A
RHYTHM.mid	10796	788835	N/A	N/A
PRE.mid	21863	799655	N/A	N/A
PARADE.mid	9929	821542	N/A	N/A
ODDS.mid	8398	831495	N/A	N/A
OA.mid	44983	839917	N/A	N/A
MURA1.mid	6032	884924	N/A	N/A
MEKYU.mid	14435	890980	N/A	N/A
MAKORO.mid	31614	905439	N/A	N/A
FIN.mid	67361	937077	N/A	N/A
KURAI.mid	12240	1004462	N/A	N/A
KETC.mid	11629	1016726	N/A	N/A
JUNON.mid	9970	1028379	N/A	N/A
ISEKI.mid	20729	1038373	N/A	N/A
HIKU.mid	17546	1059126	N/A	N/A
GEKI.mid	4394	1076696	N/A	N/A
FIDDLE.mid	16690	1081114	N/A	N/A
FAN2.mid	9992	1097828	N/A	N/A
EARISLO.mid	11653	1107844	N/A	N/A
DUN2.mid	27181	1119521	N/A	N/A
DATE.mid	8514	1146726	N/A	N/A
CRLOST.mid	3764	1155264	N/A	N/A
CORNEO.mid	5078	1159052	N/A	N/A
CONDOR.mid	16976	1164154	N/A	N/A
CINTRO.mid	366	1181154	N/A	N/A
CHU2.mid	24535	1181544	N/A	N/A
CHASE.mid	35531	1206103	N/A	N/A
CANYON.mid	12246	1241658	N/A	N/A
BOO.mid	6020	1253928	N/A	N/A
BEE.mid	10471	1259972	N/A	N/A
BARRET.mid	9165	1270467	N/A	N/A
ASERI2.mid	18770	1279656	N/A	N/A
ASERI.mid	33847	1298450	N/A	N/A
LB2.mid	52157	1332321	N/A	N/A
LB2_AWE.mid	51057	1384502	N/A	N/A
