aseri.mid	33847	1297922	14	0
aseri2.mid	18770	1279128	14	0
ayasi.mid	9199	609317	14	0
barret.mid	9165	1269939	14	0
bat.mid	23919	585374	14	0
bee.mid	10467	1259448	14	0
boo.mid	6020	1253404	14	0
bokujo.mid	9824	575526	14	0
canyon.mid	12246	1241134	14	0
cannon.mid	5603	569899	14	0
cephiros.mid	11756	558119	14	0
chu.mid	31814	526281	14	0
chu2.mid	24535	1181020	14	0
chase.mid	35531	1205579	14	0
cinco.mid	19063	507194	14	0
cintro.mid	366	1180630	14	0
condor.mid	16976	1163630	14	0
costa.mid	11588	485216	14	0
comical.mid	4878	502292	14	0
corel.mid	5440	496828	14	0
corneo.mid	5078	1158528	14	0
crwin.mid	1379	483813	14	0
crlost.mid	3764	1154740	14	0
date.mid	8514	1146202	14	0
dokubo.mid	9340	474449	14	0
dun2.mid	27162	1119016	14	0
earislo.mid	11653	1107339	14	0
earis.mid	8808	465617	14	0
elec.mid	23858	441735	14	0
fanfare.mid	892	440819	14	0
fan2.mid	9977	1097338	14	0
fiddle.mid	16690	1080624	14	0
fin.mid	67225	936723	14	0
geki.mid	4394	1076206	14	0
gold1.mid	19931	418747	14	0
gun.mid	13389	405334	14	0
guitar2.mid	2093	438702	14	0
hen.mid	4359	400951	14	0
hiku.mid	17546	1058636	14	0
horror.mid	11835	389092	14	0
iseki.mid	20729	1037883	14	0
jukai.mid	5009	384059	14	0
junon.mid	9970	1027889	14	0
jyro.mid	15577	368458	14	0
ketc.mid	11629	1016236	14	0
kita.mid	23692	344742	14	0
kurai.mid	12240	1003972	14	0
lb1.mid	37892	306826	14	0
lb2.mid	52161	1331793	14	0
ld.mid	18918	287884	14	0
mati.mid	7237	280623	14	0
makoro.mid	31614	905085	14	0
mekyu.mid	14435	890626	14	0
mogu.mid	2845	277754	14	0
mura1.mid	6032	884570	14	0
nointro.mid	11560	266170	14	0
oa.mid	45011	839535	14	0
ob.mid	39409	226737	14	0
odds.mid	8398	831113	14	0
over2.mid	3701	223012	14	0
parade.mid	9929	821160	14	0
pj.mid	28190	194798	14	0
pre.mid	21863	799273	14	0
red.mid	7043	187731	14	0
rhythm.mid	10796	788453	14	0
riku.mid	4002	183705	14	0
roll.mid	50865	724393	14	0
ro.mid	13147	775282	14	0
rocket.mid	9388	174293	14	0
rukei.mid	10774	163495	14	0
sadsid.mid	3244	160227	14	0
sadbar.mid	4118	720251	14	0
seto.mid	6549	127854	14	0
sea.mid	25776	134427	14	0
sido.mid	9259	707237	14	0
siera.mid	10633	109146	14	0
sinraslo.mid	20842	88280	14	0
si.mid	3707	716520	14	0
sinra.mid	7308	699905	14	0
sid2.mid	8027	119803	14	0
snow.mid	10717	689164	14	0
ta.mid	30617	57639	14	0
tb.mid	13330	675810	14	0
tender.mid	7416	50199	14	0
tifa.mid	13771	662015	14	0
tm.mid	18747	31428	14	0
utai.mid	23726	638265	14	0
vincent.mid	5393	26011	14	0
walz.mid	3692	634549	14	0
weapon.mid	14808	11179	14	0
yado.mid	2430	8725	14	0
yufi2.mid	2545	6156	14	0
yufi.mid	10130	624395	14	0
yume.mid	5831	618540	14	0
YUFI.mid	10130	624395	N/A	N/A
WALZ.mid	3692	634549	N/A	N/A
UTAI.mid	23726	638265	N/A	N/A
TIFA.mid	13771	662015	N/A	N/A
TB.mid	13330	675810	N/A	N/A
SNOW.mid	10717	689164	N/A	N/A
SINRA.mid	7308	699905	N/A	N/A
SIDO.mid	9259	707237	N/A	N/A
SI.mid	3707	716520	N/A	N/A
SADBAR.mid	4118	720251	N/A	N/A
ROLL.mid	50865	724393	N/A	N/A
RO.mid	13147	775282	N/A	N/A
RHYTHM.mid	10796	788453	N/A	N/A
PRE.mid	21863	799273	N/A	N/A
PARADE.mid	9929	821160	N/A	N/A
ODDS.mid	8398	831113	N/A	N/A
OA.mid	45011	839535	N/A	N/A
MURA1.mid	6032	884570	N/A	N/A
MEKYU.mid	14435	890626	N/A	N/A
MAKORO.mid	31614	905085	N/A	N/A
FIN.mid	67225	936723	N/A	N/A
KURAI.mid	12240	1003972	N/A	N/A
KETC.mid	11629	1016236	N/A	N/A
JUNON.mid	9970	1027889	N/A	N/A
ISEKI.mid	20729	1037883	N/A	N/A
HIKU.mid	17546	1058636	N/A	N/A
GEKI.mid	4394	1076206	N/A	N/A
FIDDLE.mid	16690	1080624	N/A	N/A
FAN2.mid	9977	1097338	N/A	N/A
EARISLO.mid	11653	1107339	N/A	N/A
DUN2.mid	27162	1119016	N/A	N/A
DATE.mid	8514	1146202	N/A	N/A
CRLOST.mid	3764	1154740	N/A	N/A
CORNEO.mid	5078	1158528	N/A	N/A
CONDOR.mid	16976	1163630	N/A	N/A
CINTRO.mid	366	1180630	N/A	N/A
CHU2.mid	24535	1181020	N/A	N/A
CHASE.mid	35531	1205579	N/A	N/A
CANYON.mid	12246	1241134	N/A	N/A
BOO.mid	6020	1253404	N/A	N/A
BEE.mid	10467	1259448	N/A	N/A
BARRET.mid	9165	1269939	N/A	N/A
ASERI2.mid	18770	1279128	N/A	N/A
ASERI.mid	33847	1297922	N/A	N/A
LB2.mid	52161	1331793	N/A	N/A
