aseri2.mid	18756	1544538	14	0
aseri.mid	26109	1563318	14	0
ayasi.mid	11562	726532	14	0
barret.mid	12396	1532118	14	0
bat.mid	29228	697280	14	0
bee.mid	10528	1521566	14	0
boo.mid	8665	1512877	14	0
bokujo.mid	9822	687434	14	0
cannon.mid	5946	681464	14	0
canyon.mid	14206	1498647	14	0
cephiros.mid	14382	667058	14	0
chu.mid	35709	631325	14	0
chase.mid	32713	1465910	14	0
chu2.mid	28184	1437702	14	0
cintro.mid	523	1437155	14	0
cinco.mid	20317	610984	14	0
condor.mid	19684	1417447	14	0
costa.mid	11725	584556	14	0
comical.mid	5589	605371	14	0
corneo.mid	5195	1412228	14	0
corel.mid	9042	596305	14	0
crwin.mid	1258	583274	14	0
crlost.mid	3576	1408628	14	0
date.mid	9383	1399221	14	0
dokubo.mid	9476	573774	14	0
dun2.mid	29166	1370031	14	0
earis.mid	7516	566234	14	0
earislo.mid	11784	1358223	14	0
elec.mid	28280	537930	14	0
fanfare.mid	1034	536872	14	0
fan2.mid	8830	1349369	14	0
fiddle.mid	15496	1333849	14	0
fin.mid	83494	1158137	14	0
geki.mid	4477	1329348	14	0
gold1.mid	19732	509362	14	0
guitar2.mid	7730	529118	14	0
gun.mid	19586	489752	14	0
heart.mid	131	1329193	14	0
hen.mid	4418	485310	14	0
hiku.mid	22353	1306816	14	0
horror.mid	11904	473382	14	0
iseki.mid	23092	1283700	14	0
junon.mid	16492	1267184	14	0
jukai.mid	17693	455665	14	0
jyro.mid	17891	437750	14	0
ketc.mid	11256	1255904	14	0
kita.mid	31550	406176	14	0
kurai.mid	14225	1241655	14	0
lb1.mid	39715	366437	14	0
lb2.mid	58546	1589451	14	0
ld.mid	21535	344878	14	0
mati.mid	9530	335324	14	0
makoro.mid	32418	1125695	14	0
mekyu.mid	15397	1110274	14	0
mogu.mid	3921	331379	14	0
mura1.mid	12126	1098124	14	0
nointro.mid	15645	315710	14	0
oa.mid	40655	1057445	14	0
ob.mid	35233	280453	14	0
odds.mid	9029	1048392	14	0
over2.mid	7181	273248	14	0
parade.mid	12441	1035927	14	0
pj.mid	29357	243867	14	0
pre.mid	36179	999724	14	0
red.mid	7067	236776	14	0
rhythm.mid	10115	989585	14	0
riku.mid	3810	232942	14	0
roll.mid	71021	904447	14	0
rocket.mid	9386	223532	14	0
ro.mid	14069	975492	14	0
rukei.mid	20227	203281	14	0
sato.mid	4359	895017	14	0
sadbar.mid	5023	899400	14	0
sadsid.mid	5972	197285	14	0
sea.mid	28062	169199	14	0
seto.mid	13356	155819	14	0
sensui.mid	888	894105	14	0
sinra.mid	11578	867561	14	0
sid2.mid	11435	144360	14	0
si.mid	3568	890513	14	0
sido.mid	11326	879163	14	0
sinraslo.mid	20342	112483	14	0
siera.mid	11487	132849	14	0
snow.mid	10820	856717	14	0
ta.mid	47357	65102	14	0
tb.mid	32747	823946	14	0
tender.mid	13928	51150	14	0
tifa.mid	15637	808285	14	0
tm.mid	19879	31247	14	0
utai.mid	30437	777824	14	0
vincent.mid	5246	25977	14	0
walz.mid	4604	773196	14	0
weapon.mid	14813	11140	14	0
wind.mid	16936	756236	14	0
yado.mid	1944	9172	14	0
yufi2.mid	2884	6264	14	0
yume.mid	5954	738118	14	0
yufi.mid	12116	744096	14	0
WIND.mid	16936	756236	N/A	N/A
WALZ.mid	4604	773196	N/A	N/A
UTAI.mid	30437	777824	N/A	N/A
TIFA.mid	15637	808285	N/A	N/A
TB.mid	32747	823946	N/A	N/A
SNOW.mid	10820	856717	N/A	N/A
SINRA.mid	11578	867561	N/A	N/A
SIDO.mid	11326	879163	N/A	N/A
SI.mid	3568	890513	N/A	N/A
SENSUI.mid	888	894105	N/A	N/A
SATO.mid	4359	895017	N/A	N/A
SADBAR.mid	5023	899400	N/A	N/A
ROLL.mid	71021	904447	N/A	N/A
RO.mid	14069	975492	N/A	N/A
RHYTHM.mid	10115	989585	N/A	N/A
PRE.mid	36179	999724	N/A	N/A
PARADE.mid	12441	1035927	N/A	N/A
ODDS.mid	9029	1048392	N/A	N/A
OA.mid	40655	1057445	N/A	N/A
MURA1.mid	12126	1098124	N/A	N/A
MEKYU.mid	15397	1110274	N/A	N/A
MAKORO.mid	32418	1125695	N/A	N/A
FIN.mid	83494	1158137	N/A	N/A
KURAI.mid	14225	1241655	N/A	N/A
KETC.mid	11256	1255904	N/A	N/A
JUNON.mid	16492	1267184	N/A	N/A
ISEKI.mid	23092	1283700	N/A	N/A
HIKU.mid	22353	1306816	N/A	N/A
HEART.mid	131	1329193	N/A	N/A
GEKI.mid	4477	1329348	N/A	N/A
FIDDLE.mid	15496	1333849	N/A	N/A
FAN2.mid	8830	1349369	N/A	N/A
EARISLO.mid	11784	1358223	N/A	N/A
DUN2.mid	29166	1370031	N/A	N/A
DATE.mid	9383	1399221	N/A	N/A
CRLOST.mid	3576	1408628	N/A	N/A
CORNEO.mid	5195	1412228	N/A	N/A
CONDOR.mid	19684	1417447	N/A	N/A
CINTRO.mid	523	1437155	N/A	N/A
CHU2.mid	28184	1437702	N/A	N/A
CHASE.mid	32713	1465910	N/A	N/A
CANYON.mid	14206	1498647	N/A	N/A
BOO.mid	8665	1512877	N/A	N/A
BEE.mid	10528	1521566	N/A	N/A
BARRET.mid	12396	1532118	N/A	N/A
ASERI2.mid	18756	1544538	N/A	N/A
ASERI.mid	26109	1563318	N/A	N/A
LB2.mid	58546	1589451	N/A	N/A
